x,y,z,coordinate,t_stat,p_value,cohens_d,depr_mean,control_mean,depr_greater
41,35,11,"(41, 35, 11)",2.4728,0.018585,0.7458,0.9933,0.9529,True
26,76,25,"(26, 76, 25)",-2.4589,0.018587,-0.6069,1.0388,1.0504,False
35,45,12,"(35, 45, 12)",2.4978,0.018627,0.7856,1.0213,0.9991,True
52,59,10,"(52, 59, 10)",-2.4678,0.018636,-0.6008,1.0141,1.0398,False
58,68,18,"(58, 68, 18)",-2.4365,0.018646,-0.6322,1.0502,1.0569,False
54,86,12,"(54, 86, 12)",-2.4469,0.018647,-0.6154,1.0274,1.0465,False
21,19,19,"(21, 19, 19)",2.4978,0.018652,0.7862,1.0152,0.9757,True
59,36,22,"(59, 36, 22)",2.4497,0.018664,0.707,1.0191,0.9984,True
30,44,11,"(30, 44, 11)",2.4737,0.018675,0.75,1.0182,0.9823,True
51,83,13,"(51, 83, 13)",-2.4613,0.018677,-0.6036,1.0237,1.0461,False
59,86,12,"(59, 86, 12)",-2.4399,0.018679,-0.6234,1.0307,1.0478,False
66,70,15,"(66, 70, 15)",2.4554,0.018689,0.7191,1.0441,1.0332,True
13,44,19,"(13, 44, 19)",-2.4353,0.018703,-0.6315,1.0244,1.0382,False
31,36,15,"(31, 36, 15)",-2.4342,0.018714,-0.6678,1.0032,1.0225,False
49,20,14,"(49, 20, 14)",-2.4514,0.018721,-0.6094,1.01,1.0337,False
36,28,15,"(36, 28, 15)",-2.4579,0.018727,-0.6047,1.0445,1.0551,False
18,48,23,"(18, 48, 23)",-2.4318,0.018751,-0.6588,1.0446,1.0515,False
21,57,23,"(21, 57, 23)",-2.4317,0.018753,-0.6581,0.9771,1.0106,False
49,21,3,"(49, 21, 3)",-2.4467,0.018762,-0.6124,1.0382,1.0522,False
31,93,16,"(31, 93, 16)",-2.4438,0.018803,-0.6142,1.0403,1.0523,False
36,37,28,"(36, 37, 28)",-2.4324,0.018806,-0.633,1.0435,1.0508,False
72,68,13,"(72, 68, 13)",-2.4701,0.018813,-0.597,1.0212,1.0485,False
45,27,4,"(45, 27, 4)",-2.4308,0.018824,-0.6374,1.0329,1.0464,False
64,34,14,"(64, 34, 14)",-2.4295,0.018831,-0.6469,1.0094,1.0298,False
4,38,20,"(4, 38, 20)",2.4784,0.018861,0.7629,1.0424,1.0269,True
33,67,23,"(33, 67, 23)",-2.4321,0.018867,-0.672,1.0474,1.0534,False
59,13,9,"(59, 13, 9)",-2.4523,0.018873,-0.6055,1.0461,1.0557,False
51,24,3,"(51, 24, 3)",-2.4325,0.018876,-0.6282,1.028,1.0456,False
8,18,16,"(8, 18, 16)",-2.4407,0.018887,-0.6151,0.9889,1.0342,False
11,71,18,"(11, 71, 18)",-2.4282,0.018895,-0.6515,1.0321,1.0425,False
50,69,21,"(50, 69, 21)",2.4415,0.018932,0.7006,0.9577,0.9145,True
31,90,16,"(31, 90, 16)",-2.4518,0.018932,-0.6046,1.017,1.0412,False
18,25,15,"(18, 25, 15)",2.4637,0.018943,0.7419,1.0263,1.0019,True
50,67,26,"(50, 67, 26)",-2.4564,0.01895,-0.6015,1.0279,1.0482,False
46,46,21,"(46, 46, 21)",-2.4343,0.01896,-0.621,1.0518,1.0599,False
55,16,10,"(55, 16, 10)",-2.4402,0.018961,-0.6134,1.0345,1.0464,False
44,58,25,"(44, 58, 25)",-2.4267,0.018984,-0.6569,1.0308,1.043,False
60,81,12,"(60, 81, 12)",-2.4366,0.01899,-0.6167,1.0316,1.0458,False
19,53,21,"(19, 53, 21)",-2.4262,0.019017,-0.6387,0.9555,0.986,False
45,14,18,"(45, 14, 18)",-2.4258,0.019028,-0.6399,1.0091,1.0328,False
50,23,14,"(50, 23, 14)",-2.4265,0.019037,-0.6351,1.0218,1.0371,False
20,70,25,"(20, 70, 25)",-2.4337,0.019045,-0.6186,1.0294,1.0451,False
38,33,14,"(38, 33, 14)",-2.443,0.019046,-0.6086,1.0272,1.0435,False
19,87,14,"(19, 87, 14)",-2.4627,0.019053,-0.5966,1.023,1.0487,False
34,34,16,"(34, 34, 16)",-2.4323,0.019058,-0.6203,1.022,1.0373,False
57,48,25,"(57, 48, 25)",-2.4344,0.019064,-0.617,1.02,1.0367,False
42,22,5,"(42, 22, 5)",2.499,0.019065,0.7989,1.0393,1.0142,True
38,54,18,"(38, 54, 18)",-2.4562,0.019077,-0.5994,1.0506,1.059,False
52,26,13,"(52, 26, 13)",-2.4252,0.019116,-0.6331,1.0082,1.032,False
8,63,19,"(8, 63, 19)",-2.4269,0.019125,-0.6275,1.0366,1.0472,False
17,28,17,"(17, 28, 17)",2.4443,0.01913,0.7137,1.0211,0.9996,True
39,41,6,"(39, 41, 6)",2.459,0.019134,0.7398,1.0186,0.9766,True
36,27,2,"(36, 27, 2)",2.4642,0.019136,0.7484,1.0079,0.9802,True
47,43,20,"(47, 43, 20)",-2.4243,0.019138,-0.6348,1.0493,1.0575,False
7,71,16,"(7, 71, 16)",-2.4255,0.019142,-0.6678,1.0433,1.0515,False
