x,y,z,coordinate,t_stat,p_value,cohens_d,depr_mean,control_mean,depr_greater
46,32,10,"(46, 32, 10)",-2.5111,0.015511,-0.6925,0.0199,0.1797,False
25,36,26,"(25, 36, 26)",-2.5196,0.015512,-0.7162,-0.0645,0.0677,False
71,64,20,"(71, 64, 20)",-2.5341,0.015523,-0.745,-0.0438,0.1092,False
38,46,27,"(38, 46, 27)",-2.5102,0.015533,-0.6914,0.0664,0.2331,False
30,88,23,"(30, 88, 23)",-2.5082,0.015541,-0.6831,0.0628,0.2167,False
53,24,31,"(53, 24, 31)",-2.5072,0.015543,-0.665,-0.0367,0.1418,False
16,38,13,"(16, 38, 13)",-2.5119,0.015546,-0.6981,0.0027,0.1186,False
69,67,25,"(69, 67, 25)",2.5196,0.015552,0.7182,0.1377,-0.036,True
57,32,12,"(57, 32, 12)",-2.507,0.015562,-0.6782,-0.0009,0.1538,False
49,29,21,"(49, 29, 21)",-2.5343,0.015586,-0.7477,-0.044,0.1102,False
56,67,29,"(56, 67, 29)",2.5068,0.015593,0.682,0.1992,0.0266,True
53,10,6,"(53, 10, 6)",-2.5168,0.015629,-0.7159,-0.0474,0.1383,False
37,16,3,"(37, 16, 3)",-2.5587,0.015645,-0.7882,-0.0264,0.1672,False
9,54,21,"(9, 54, 21)",-2.5045,0.015647,-0.6639,-0.0139,0.152,False
54,10,6,"(54, 10, 6)",-2.5158,0.015665,-0.7154,0.0046,0.1831,False
16,84,10,"(16, 84, 10)",2.5048,0.015675,0.6823,0.1363,-0.0297,True
17,11,13,"(17, 11, 13)",-2.5076,0.015676,-0.6942,0.0429,0.1919,False
29,27,30,"(29, 27, 30)",-2.5064,0.015683,-0.6904,0.0362,0.1878,False
29,27,29,"(29, 27, 29)",-2.5073,0.015687,-0.694,0.0158,0.1545,False
26,10,23,"(26, 10, 23)",-2.5244,0.01569,-0.7341,0.0104,0.2073,False
31,29,15,"(31, 29, 15)",2.516,0.015699,0.7176,0.2157,0.0419,True
72,25,16,"(72, 25, 16)",-2.5426,0.015703,-0.7656,0.0573,0.2306,False
28,59,33,"(28, 59, 33)",2.5122,0.015704,0.709,0.2028,0.0313,True
16,25,29,"(16, 25, 29)",-2.5028,0.015713,-0.6739,-0.0139,0.1541,False
5,54,11,"(5, 54, 11)",2.5369,0.015719,0.757,0.2284,0.0411,True
28,52,26,"(28, 52, 26)",2.532,0.01572,0.7488,0.0817,-0.0778,True
5,37,13,"(5, 37, 13)",2.5091,0.015721,0.702,0.1056,-0.0313,True
31,30,22,"(31, 30, 22)",-2.5423,0.015723,-0.7658,-0.0684,0.1207,False
18,9,12,"(18, 9, 12)",-2.526,0.015724,-0.7384,-0.0218,0.1351,False
29,6,17,"(29, 6, 17)",-2.5358,0.015728,-0.7554,-0.0006,0.1644,False
61,48,28,"(61, 48, 28)",-2.5129,0.015729,-0.7121,-0.014,0.1846,False
56,60,31,"(56, 60, 31)",2.5552,0.015732,0.7858,0.1838,0.0228,True
44,36,27,"(44, 36, 27)",-2.5123,0.015736,-0.7111,0.0127,0.1925,False
42,37,25,"(42, 37, 25)",2.5344,0.015747,0.7538,0.1603,-0.0203,True
47,39,12,"(47, 39, 12)",-2.5412,0.015767,-0.7655,-0.1096,0.1119,False
23,61,26,"(23, 61, 26)",-2.5042,0.015787,-0.6916,-0.0311,0.1019,False
13,20,8,"(13, 20, 8)",-2.511,0.015797,-0.7113,0.0112,0.2047,False
68,55,9,"(68, 55, 9)",2.5097,0.015801,0.7083,0.1305,-0.0274,True
25,66,21,"(25, 66, 21)",-2.5367,0.015815,-0.76,-0.0658,0.0751,False
50,54,30,"(50, 54, 30)",2.5043,0.015816,0.694,0.133,-0.0276,True
61,87,15,"(61, 87, 15)",2.5028,0.015821,0.689,0.1544,-0.0116,True
45,49,33,"(45, 49, 33)",-2.507,0.01583,-0.703,0.0123,0.2208,False
21,50,12,"(21, 50, 12)",-2.5114,0.015835,-0.7142,-0.0655,0.1012,False
50,42,5,"(50, 42, 5)",2.5082,0.015837,0.7066,0.1811,-0.0004,True
61,69,13,"(61, 69, 13)",2.5268,0.015849,0.7446,0.2067,0.0165,True
57,43,25,"(57, 43, 25)",-2.5158,0.015858,-0.7246,-0.0957,0.0643,False
30,56,16,"(30, 56, 16)",2.4991,0.015859,0.6728,0.0863,-0.0635,True
46,61,19,"(46, 61, 19)",2.5142,0.015868,0.7217,0.1847,0.0122,True
13,57,11,"(13, 57, 11)",2.4984,0.015877,0.6679,0.2037,0.0294,True
27,29,28,"(27, 29, 28)",2.5027,0.015884,0.6941,0.0874,-0.0539,True
