x,y,z,coordinate,t_stat,p_value,cohens_d,depr_mean,control_mean,depr_greater
21,52,8,"(21, 52, 8)",2.3154,0.025618,0.6662,1.0118,0.9465,True
37,86,19,"(37, 86, 19)",-2.3128,0.025621,-0.6603,0.9456,1.0381,False
23,58,24,"(23, 58, 24)",2.3154,0.025629,0.6667,1.0203,0.9433,True
21,25,26,"(21, 25, 26)",-2.3089,0.025654,-0.6512,1.0062,1.0918,False
64,59,9,"(64, 59, 9)",-2.309,0.025655,-0.6516,0.9557,1.0593,False
75,54,20,"(75, 54, 20)",2.3014,0.025662,0.6156,1.0565,0.9541,True
17,33,25,"(17, 33, 25)",-2.3358,0.025664,-0.7071,1.0672,1.1497,False
10,47,21,"(10, 47, 21)",-2.3088,0.025669,-0.6516,0.9968,1.0798,False
33,46,8,"(33, 46, 8)",-2.3027,0.025674,-0.6302,0.9492,1.0151,False
73,63,12,"(73, 63, 12)",-2.318,0.025683,-0.674,0.9513,1.0473,False
72,55,13,"(72, 55, 13)",-2.3098,0.025695,-0.6553,1.0129,1.1181,False
40,92,13,"(40, 92, 13)",2.3071,0.0257,0.648,0.9984,0.9006,True
25,50,9,"(25, 50, 9)",2.3069,0.025705,0.6476,1.0294,0.944,True
4,31,19,"(4, 31, 19)",2.3037,0.025717,0.6375,1.075,0.9803,True
30,9,9,"(30, 9, 9)",2.3132,0.025718,0.6646,1.0488,0.94,True
2,42,20,"(2, 42, 20)",-2.3163,0.025735,-0.6721,1.0187,1.1146,False
32,11,11,"(32, 11, 11)",2.3001,0.025762,0.6079,1.0569,0.9491,True
9,23,15,"(9, 23, 15)",-2.3018,0.025767,-0.6326,1.0293,1.1286,False
39,4,18,"(39, 4, 18)",2.3021,0.025773,0.6345,1.0536,0.9358,True
17,35,13,"(17, 35, 13)",-2.2998,0.025779,-0.6209,1.0027,1.0748,False
14,27,26,"(14, 27, 26)",-2.3058,0.025784,-0.6481,1.0243,1.1169,False
38,44,27,"(38, 44, 27)",2.3045,0.025785,0.6441,1.0515,0.9776,True
14,43,18,"(14, 43, 18)",2.2993,0.025829,0.6054,1.0608,0.9762,True
38,4,15,"(38, 4, 15)",2.3023,0.025839,0.6392,1.0356,0.936,True
40,71,21,"(40, 71, 21)",2.3066,0.025839,0.6526,1.06,0.953,True
45,49,15,"(45, 49, 15)",2.2985,0.025843,0.6162,1.0297,0.9665,True
51,89,15,"(51, 89, 15)",-2.3174,0.025846,-0.6776,0.9231,1.0141,False
28,86,17,"(28, 86, 17)",-2.3027,0.025851,-0.6414,0.941,1.0226,False
57,22,27,"(57, 22, 27)",-2.2993,0.025853,-0.6267,0.9965,1.0867,False
60,61,22,"(60, 61, 22)",-2.3003,0.02586,-0.6324,1.0027,1.1025,False
19,88,16,"(19, 88, 16)",2.3133,0.025872,0.6697,1.0614,0.9582,True
17,84,14,"(17, 84, 14)",-2.3027,0.025887,-0.6429,0.9392,1.0321,False
32,17,4,"(32, 17, 4)",2.3254,0.02591,0.6947,1.0349,0.9508,True
38,15,27,"(38, 15, 27)",2.3026,0.025911,0.6439,1.1654,1.0504,True
35,53,29,"(35, 53, 29)",2.3023,0.025922,0.6435,1.0751,0.9856,True
65,69,19,"(65, 69, 19)",2.3205,0.025922,0.6858,1.0606,0.9616,True
62,61,27,"(62, 61, 27)",-2.3088,0.025946,-0.662,0.9632,1.0716,False
32,26,15,"(32, 26, 15)",2.2974,0.025955,0.604,1.0917,1.0059,True
15,28,26,"(15, 28, 26)",-2.3116,0.025957,-0.6687,1.003,1.1081,False
51,68,26,"(51, 68, 26)",-2.3014,0.025967,-0.5905,1.0227,1.1141,False
50,13,25,"(50, 13, 25)",2.3027,0.025971,0.6469,1.0225,0.9207,True
19,40,12,"(19, 40, 12)",2.3054,0.025972,0.6544,1.0252,0.937,True
20,26,21,"(20, 26, 21)",2.3255,0.025974,0.6966,1.0133,0.9428,True
71,43,16,"(71, 43, 16)",-2.2963,0.025982,-0.61,0.9585,1.0612,False
24,80,20,"(24, 80, 20)",2.3118,0.025992,0.6703,1.0719,0.9816,True
37,80,21,"(37, 80, 21)",2.3221,0.026035,0.6919,1.05,0.9451,True
29,34,16,"(29, 34, 16)",-2.3132,0.026041,-0.6747,0.9259,0.9996,False
29,57,12,"(29, 57, 12)",-2.3026,0.02605,-0.6501,0.9568,1.0485,False
48,20,11,"(48, 20, 11)",2.3096,0.026052,0.6674,1.0853,0.9909,True
14,48,21,"(14, 48, 21)",-2.3054,0.026055,-0.6575,0.9682,1.0432,False
23,14,10,"(23, 14, 10)",-2.2946,0.026081,-0.6147,0.9749,1.0826,False
59,57,16,"(59, 57, 16)",2.3122,0.026085,0.674,1.0446,0.937,True
55,25,17,"(55, 25, 17)",2.299,0.026086,0.6405,1.0303,0.948,True
23,30,5,"(23, 30, 5)",2.312,0.026093,0.6737,1.0273,0.9515,True
18,68,25,"(18, 68, 25)",-2.2956,0.026099,-0.627,0.9804,1.0737,False
28,29,30,"(28, 29, 30)",-2.2972,0.026101,-0.6349,0.9621,1.0501,False
52,39,14,"(52, 39, 14)",2.3038,0.026118,0.6558,1.0197,0.9564,True
